"id","name","fuel","body","drivetrain","condition","reg_year","odo_km","price_dkk","wltp_wh_km","wltp_l_100km","ev_share","kerb_kg","service_small_dkk","service_large_dkk","service_interval_km","service_interval_aar","adblue","co2_g_km","ejerafgift_override","insurance_dkk_aar","price_sourced","spec_sourced","note"
"bz4x_awd","Toyota bZ4X Touring AWD Active Tech","el","SUV","AWD","ny",2026,0,369990,153,NA,NA,2065,2495,3495,15000,1,FALSE,0,NA,8400,TRUE,TRUE,"The reference car. Price and WLTP from Toyota DK; service from the Toyota Koege calculator."
"enyaq_85x_ny","Skoda Enyaq 85x Selection AWD","el","SUV","AWD","ny",2026,0,374995,155,NA,NA,2180,2300,3400,30000,2,FALSE,0,NA,8300,TRUE,TRUE,"Price and 15.5 kWh/100km from the Skoda Danmark price list. Just above the cap."
"modely_lr_ny","Tesla Model Y Long Range AWD","el","SUV","AWD","ny",2026,0,364990,150,NA,NA,2022,1900,2900,20000,2,FALSE,0,NA,8000,FALSE,FALSE,"Secondary source for price; the only new AWD car here under the cap. Service is condition-based in practice."
"enyaq_85x","Skoda Enyaq 85x AWD (2022)","el","SUV","AWD","brugt",2022,75000,264500,178,NA,NA,2170,2300,3400,30000,2,FALSE,0,NA,6600,TRUE,FALSE,"Price from 11 bilbasen listings (fitted on log(mileage)); see comparator-listings.csv. Specs remain estimates."
"modely_lr","Tesla Model Y Long Range AWD (2021)","el","SUV","AWD","brugt",2021,140000,222500,168,NA,NA,2003,1900,2900,20000,2,FALSE,0,NA,6100,TRUE,FALSE,"Price from 79 bilbasen listings (fitted on log(mileage)); see comparator-listings.csv. Specs remain estimates."
"rav4_hev_awd","Toyota RAV4 Hybrid AWD-i","benzin","SUV","AWD","ny",2026,0,449990,NA,5.6,NA,1740,2495,3495,15000,1,FALSE,131,NA,8200,FALSE,FALSE,"Above the 370000 DKK cap - no new AWD petrol wagon in this class sits under it. The hardest petrol car for an EV to beat."
"tiguan_4motion","VW Tiguan 2.0 TSI 4Motion (2020)","benzin","SUV","AWD","brugt",2020,105000,249000,NA,8.2,NA,1660,2600,4300,20000,1,FALSE,190,NA,6300,FALSE,FALSE,"Mid-price used AWD petrol SUV."
"outback_25i","Subaru Outback 2.5i AWD (2019)","benzin","stationcar","AWD","brugt",2019,121000,245000,NA,8.6,NA,1660,2411,3367,15000,1,FALSE,200,NA,5800,TRUE,FALSE,"Price from 6 bilbasen listings (median of matched listings); see comparator-listings.csv. Specs remain estimates."
"forester_20","Subaru Forester 2.0 AWD (2013)","benzin","SUV","AWD","brugt",2013,235000,118500,NA,8.9,NA,1550,1800,3000,15000,1,FALSE,207,NA,4400,TRUE,FALSE,"Price from 8 bilbasen listings (fitted on log(mileage)); see comparator-listings.csv. Specs remain estimates."
"octavia_tdi_4x4","Skoda Octavia Combi 2.0 TDI 4x4 (2019)","diesel","stationcar","AWD","brugt",2019,155000,189000,NA,5.4,NA,1520,2800,4600,20000,1,TRUE,143,NA,5500,FALSE,FALSE,"The only Octavia sold with AWD in Denmark is the 2.0 TDI. Lowest fuel burn per km in the fleet."
"xc60_d4_awd","Volvo XC60 D4 AWD (2016)","diesel","SUV","AWD","brugt",2016,210000,190000,NA,6.2,NA,1810,3100,5000,20000,1,TRUE,164,NA,5900,TRUE,FALSE,"Price from 8 bilbasen listings (fitted on log(mileage)); see comparator-listings.csv. Specs remain estimates."
"tucson_crdi_awd","Hyundai Tucson 1.6 CRDi AWD (2017)","diesel","SUV","AWD","brugt",2017,185000,149000,NA,6.3,NA,1650,2700,4400,20000,1,TRUE,166,NA,5200,FALSE,FALSE,"Mid-price used AWD diesel SUV."
"passat_tdi_4m","VW Passat Variant 2.0 TDI 4Motion (2015)","diesel","stationcar","AWD","brugt",2015,265000,104000,NA,5.8,NA,1620,1900,3300,15000,1,FALSE,153,NA,4600,FALSE,FALSE,"Cheap high-mileage AWD diesel. Pre-AdBlue on many DK cars; check the individual car."
"rav4_phev","Toyota RAV4 Plug-in Hybrid AWD (2021)","phev","SUV","AWD","brugt",2021,95000,312000,220,6.8,0.55,1950,2495,3495,15000,1,FALSE,22,NA,7000,TRUE,FALSE,"Price from 28 bilbasen listings (fitted on log(mileage)); see comparator-listings.csv. Specs remain estimates."
